date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:16:32	180239/180239	---M-Z	200	added ('OK')	text/html	etag:%226e4a9c65c6d6e8b0f20242ab9f5bcabc%22	https://relieved-presentations-502462.framer.app/	C:/Users/ewert/Videos/dr.ikaro/relieved-presentations-502462.framer.app/index.html	(from )
14:16:32	112/112	---M-Z	200	added ('OK')	text/plain	etag:%22bb71c89d3cc0180e0807eac4de267a7f%22	https://relieved-presentations-502462.framer.app/robots.txt		(from )
14:16:32	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://relieved-presentations-502462.framer.app/)
14:16:33	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://relieved-presentations-502462.framer.app/)
14:16:33	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://relieved-presentations-502462.framer.app/)
14:16:33	270228/270228	---MC-	200	added ('OK')	image/png	etag:%221e5b1c160ad876b76c4ebd80241ce8ad%22	https://framerusercontent.com/images/7FvXTXDvcrscsmgigwRfrkO66Bo.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/7FvXTXDvcrscsmgigwRfrkO66Bo.png	(from https://relieved-presentations-502462.framer.app/)
14:16:35	26211/26211	---MC-	200	added ('OK')	image/png	etag:%221385ba1aa25634a6cc3dc8326b09fbc9%22	https://framerusercontent.com/images/MxxsQkXYytG9rQcn5fV6mTsDg.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/MxxsQkXYytG9rQcn5fV6mTsDg.png	(from https://relieved-presentations-502462.framer.app/)
14:16:36	659152/659152	---MC-	200	added ('OK')	image/jpeg	etag:%22a4cfa29dff20bad4b45cd82ac634dd79%22	https://framerusercontent.com/images/BRhusfvrW0vyCO1Cii703HFoaE.jpg	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/BRhusfvrW0vyCO1Cii703HFoaE.jpg	(from https://relieved-presentations-502462.framer.app/)
14:16:38	351841/351841	---MC-	200	added ('OK')	image/png	etag:%2233e58e13534903a899756e98d28e3558%22	https://framerusercontent.com/images/5bVTKAzWgskbSNesEcsBirkwszE.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/5bVTKAzWgskbSNesEcsBirkwszE.png	(from https://relieved-presentations-502462.framer.app/)
14:16:40	281833/281833	---MC-	200	added ('OK')	image/png	etag:%2204f3085114fd071b9af667f59e738bc4%22	https://framerusercontent.com/images/XN2IebrFzjLjYxnmSbAwAnN8IA.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/XN2IebrFzjLjYxnmSbAwAnN8IA.png	(from https://relieved-presentations-502462.framer.app/)
14:16:42	417673/417673	---MC-	200	added ('OK')	image/png	etag:%2272862b16f23085ca2f0ba1183b402604%22	https://framerusercontent.com/images/iO33VORIylsBdghr812FAgROcQ.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/iO33VORIylsBdghr812FAgROcQ.png	(from https://relieved-presentations-502462.framer.app/)
14:16:44	367922/367922	---MC-	200	added ('OK')	image/png	etag:%22a3fbd42bb8c24d121f6048f472f6de8c%22	https://framerusercontent.com/images/LSb50tAnZIbC4t1bjEeqzkCrME.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/LSb50tAnZIbC4t1bjEeqzkCrME.png	(from https://relieved-presentations-502462.framer.app/)
14:16:45	7679/7679	---MC-	200	added ('OK')	image/png	etag:%2294295072c1c2cc031fae953386d36494%22	https://framerusercontent.com/images/aL9myM8g7sCrbWZUhkeJyOBUzSc.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/aL9myM8g7sCrbWZUhkeJyOBUzSc.png	(from https://relieved-presentations-502462.framer.app/)
14:16:45	12641/12641	---MC-	200	added ('OK')	image/png	etag:%2298ad886d63d72dcbc70006f8e9a126e6%22	https://framerusercontent.com/images/paQAo4vGrXqiEF0WvZvSjqX34PA.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/paQAo4vGrXqiEF0WvZvSjqX34PA.png	(from https://relieved-presentations-502462.framer.app/)
14:16:46	27296/27296	---MC-	200	added ('OK')	image/png	etag:%22bf323dd7b63434a4fa1bc6223e2436f4%22	https://framerusercontent.com/images/qTx7HAXZLJjMe00RTqNA4ueddDs.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/qTx7HAXZLJjMe00RTqNA4ueddDs.png	(from https://relieved-presentations-502462.framer.app/)
14:16:47	18104/18104	---MC-	200	added ('OK')	image/png	etag:%222f7c9b4594f76872e00e500a413df128%22	https://framerusercontent.com/images/hTqEkDkHjAe0b0osI1R40F1IT4.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/hTqEkDkHjAe0b0osI1R40F1IT4.png	(from https://relieved-presentations-502462.framer.app/)
14:16:47	7972/7972	---MC-	200	added ('OK')	image/png	etag:%22f1cba9e5979a3dc15812af7799e3312e%22	https://framerusercontent.com/images/z6ACRhQL8PPjMboRNkyupDKVw.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/z6ACRhQL8PPjMboRNkyupDKVw.png	(from https://relieved-presentations-502462.framer.app/)
14:16:48	8041/8041	---MC-	200	added ('OK')	image/png	etag:%223fcce3ca5d812b247c6de0ae8f2a4723%22	https://framerusercontent.com/images/TmDwoRQsW8NtqQVxQt3ze5M50.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/TmDwoRQsW8NtqQVxQt3ze5M50.png	(from https://relieved-presentations-502462.framer.app/)
14:16:49	9166/9166	---MC-	200	added ('OK')	image/png	etag:%2277c194b665010e101a72c001eef85de6%22	https://framerusercontent.com/images/XUmykimPM8WccwmK45qyZrFtEU.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/XUmykimPM8WccwmK45qyZrFtEU.png	(from https://relieved-presentations-502462.framer.app/)
14:16:50	362394/362394	---MC-	200	added ('OK')	image/png	etag:%2272adca3986b4f5891e7a332fc75f45ac%22	https://framerusercontent.com/images/vBrxD9Uk03TkWVOWZ1X8WZ2aY.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/vBrxD9Uk03TkWVOWZ1X8WZ2aY.png	(from https://relieved-presentations-502462.framer.app/)
14:16:51	9763/9763	---MC-	200	added ('OK')	image/png	etag:%2253b6358b6821b35a09a1a312162f72a7%22	https://framerusercontent.com/images/HBLrcDpIszjmnIpPGpG1hS4prwU.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/HBLrcDpIszjmnIpPGpG1hS4prwU.png	(from https://relieved-presentations-502462.framer.app/)
14:16:51	13175/13175	---MC-	200	added ('OK')	image/png	etag:%229769b704692526b7b462db28196b978f%22	https://framerusercontent.com/images/UOxur1pkUnoQlMIBAjbn2YzU48o.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/UOxur1pkUnoQlMIBAjbn2YzU48o.png	(from https://relieved-presentations-502462.framer.app/)
14:16:52	3100/3100	---MC-	200	added ('OK')	image/png	etag:%222d828e1820cde06dae38caa10de2fc6b%22	https://framerusercontent.com/images/RVc2gFwvwxEXM9pCRR8EUGCczlU.png	C:/Users/ewert/Videos/dr.ikaro/framerusercontent.com/images/RVc2gFwvwxEXM9pCRR8EUGCczlU.png	(from https://relieved-presentations-502462.framer.app/)
